condition,Top-1_easy,Top-1_hard,n_easy,n_hard
A0,0.175,,40,0
A0f,0.35,,40,0
A1,0.2125,,40,0
A1f,0.3125,,40,0
B0,0.075,,40,0
B0f,0.1375,,40,0
B1,0.1,,40,0
B1f,0.1375,,40,0
C0,0.0125,,40,0
C0f,0.05,,40,0
C1,0.125,,40,0
C1f,0.1625,,40,0
D0,0.1875,,40,0
D0f,0.3,,40,0
D1,0.2125,,40,0
D1f,0.325,,40,0
E0,0.0125,,40,0
E0f,0.1125,,40,0
E1,0.1375,,40,0
E1f,0.1125,,40,0
F0f,0.475,,40,0
F1f,0.475,,40,0
S0,0.15,,40,0
S0f,0.1625,,40,0
S1,0.15,,40,0
S1f,0.1625,,40,0
