condition,Top-1_easy,Top-1_hard,n_easy,n_hard
A0,0.0,,20,0
A1,0.0,,20,0
B0,0.0,,20,0
B1,0.0,,20,0
C0,0.0,,20,0
C1,0.0,,20,0
D0,0.0,,20,0
D1,0.0,,20,0
E0,0.0,,20,0
E1,0.0,,20,0
F0,0.0,,20,0
F1,0.0,,20,0
S0,0.0,,20,0
S1,0.0,,20,0
