method,ΔTop-1,ΔAcceptable,ΔCand-Recall
A,0.0058,0.0041,0.0158
B,0.0,0.0,0.0
C,0.1391,0.2207,-0.0227
D,0.2643,0.1874,0.0769
E,0.0459,0.0454,-0.0382
