condition,Top-1_easy,Top-1_hard,n_easy,n_hard
A0,,0.0,0,20
A0gf,,,0,0
A1,,0.0,0,20
A1gf,,,0,0
B0,,0.0,0,20
B0gf,,,0,0
B1,,0.0,0,20
B1gf,,,0,0
C0,,0.0,0,20
C0gf,,,0,0
C1,,0.0,0,20
C1gf,,,0,0
D0,,0.0,0,20
D0gf,,,0,0
D1,,0.0,0,20
D1gf,,,0,0
E0,,0.0,0,20
E0gf,,,0,0
E1,,0.0,0,20
E1gf,,,0,0
F0,,0.0,0,20
F1,,0.0,0,20
S0,,0.0,0,20
S0gf,,,0,0
S1,,0.0,0,20
S1gf,,,0,0
